,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
26,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,402.8441704,545.7366667,2,4204.206667,1,7,1,536.6916667,ACTIVE,54.56,55.35,2.615,29.19,3.28,9.36,8772.818848,0,0,0,25
27,Prestige,EMIRATI,United Arab Emirates,F,0,1994,2019,1306.319392,1487.83,1,3473.106667,2,2,8,1493.191667,ACTIVE,1099.74,62.975,52.65,28.765,49.58,0.04,29037.83057,0,0,0,25
28,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,315.3176518,333,1,315.9983333,0,1,0,315.9983333,ACTIVE,196.27,178.1,10.275,45.92,22.9,22.5,2049.023438,0,0,0,25
29,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,469.2111448,524.1666667,1,851.7533333,2,1,1,460.1633333,ACTIVE,706.635,12.895,3.87,11.46,0,0,10101.56982,0,0,0,25
30,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,643.123856,563.26,1,2342.988333,5,8,2,463.4983333,ACTIVE,281.335,110.84,6.185,5.285,0,0,3354.852539,0,0,2,25
31,Residential,EMIRATI,United Arab Emirates,M,1,1994,2018,58.16683459,59.78333333,1,2012.425,4,5,1,57.43666667,ACTIVE,7.525,174.075,5.965,27.185,0,0.655,0.498046875,0,0,0,24
32,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,563.9858548,491.62,1,400.1483333,0,1,0,400.1483333,ACTIVE,466.3,160.925,7.055,10.475,6.785,2.35,1.171875,0,0,0,25
33,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,902.1885269,972.1483333,1,5074.19,0,3,2,923.085,ACTIVE,639.585,518.375,13.1,34.225,34.345,14.84,2040.835449,0,0,0,25
34,Residential,EXPATS,Jordan,M,0,1994,2019,544.4877248,535.86,1,1278.955,3,3,0,517.3816667,ACTIVE,605.325,35.575,56.855,38.535,34.595,0.15,8975.893555,0,0,0,25
35,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,941.7691261,856.3366667,3,4180.495,4,3,1,760.92,ACTIVE,367.825,538.95,15.08,211.51,0.325,1.39,4111.347656,0,0,0,25
36,Residential,EMIRATI,United Arab Emirates,F,0,1994,2019,19.57633819,21.21,1,838.2483333,6,5,2,20.2,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
37,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,773.8798071,812.3333333,2,3776.236667,2,5,1,806.5233333,ACTIVE,1150.32,57.075,125.45,33.615,3.555,0,20908.75684,0,0,0,25
38,Residential,EXPATS,India,M,0,1994,2019,190.1868352,168.7883333,1,814.33,0,1,1,141.2966667,ACTIVE,101.03,97.71,88.015,30.91,0,4.265,0,0,7706,0,25
39,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,270.36419,281.4,1,9148.77,9,6,3,267.3333333,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
40,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,278.1280983,277.2766667,2,2235.678333,7,6,2,272.235,ACTIVE,3.14,4.74,0,3.925,0,0,9007.022461,0,0,0,25
41,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,55.05991719,64.28166667,1,370.18,1,2,0,73.27666667,ACTIVE,77.52,71.115,37.045,12.615,2.62,0.035,0,0,0,0,25
42,Prestige,EXPATS,Jordan,M,0,1994,2019,498.4890313,666.04,1,1871.7,8,3,0,641.0616667,ACTIVE,0,0,0,0,0,0,48.74560547,0,0,0,25
43,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,156.6240153,250,1,216.52,3,1,0,163.505,ACTIVE,15.735,41.87,3.905,62.165,18.235,47.65,0.102539063,0,0,0,25
44,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,229.6910078,245.5,1,1011.3,1,3,0,233.5183333,ACTIVE,240.545,146.745,50.475,23.145,55.45,11.635,0,0,0,0,25
45,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,23.85535243,24.5,1,1166.043333,0,2,1,24.16666667,Out Going Bar Confirmed,0,0,0,0,0,0,0,0,0,0,25
46,Residential,EXPATS,Syrian Arab Republic,M,0,1994,2019,560.4209326,568.8483333,1,2134.44,4,4,1,511.75,ACTIVE,466.915,470.85,75.725,137.995,8.355,0,6853.248047,0,0,0,25
47,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,26.05133897,20.79166667,1,1653.173333,3,3,2,21.71833333,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
48,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,261.7640117,297,2,1720.401667,12,3,4,287.8816667,ACTIVE,316.365,223.93,10.9,61.185,50.84,38.485,0,0,0,0,25
49,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,257.3100379,279.97,2,1984.756667,4,2,1,280.1983333,ACTIVE,236.68,38.115,1.315,31.745,45.055,22.165,13309.52295,0,0,0,25
50,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,437.9889204,449.6916667,1,2133.64,2,6,1,427.0633333,ACTIVE,207.325,19.72,10.32,21.17,4.83,0.99,1718.994141,0,0,0,25
51,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,548.5093601,441.6666667,2,259.2183333,0,1,0,259.2183333,ACTIVE,404.855,14.75,41.46,15.74,25.95,0,0,0,0,1,25
52,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,411.302418,399.5383333,1,1770.605,11,2,1,374.5033333,ACTIVE,196.475,86.045,32.67,29.49,0,0,0,0,0,0,25
53,Residential,EXPATS,India,M,0,1994,2019,31.314569,29.26333333,1,961.9283333,2,5,1,31.99166667,ACTIVE,23.39,38.51,1.855,7.455,0,0,0,0,0,0,25
54,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,478.5114045,612.365,2,867.695,1,2,0,535.9816667,ACTIVE,209.56,131.42,11.845,16.605,2.425,0,4775.248535,0,0,0,25
55,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,660.052517,803.17,1,3570.923333,4,4,3,797.8,Out Going Bar Confirmed,610.07,502.975,24.1,80.735,38.72,2.11,2496.168457,0,0,0,25
56,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,478.4463111,546.78,1,3110.478333,5,5,1,486.8383333,ACTIVE,556.63,163.695,62.325,21.055,1.05,1.985,1584.604492,0,0,0,25
57,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,687.3584522,732.6566667,1,4607.968333,1,8,1,790.2816667,ACTIVE,178.1,14.88,14.575,5.225,6.155,0.96,13716.01563,0,0,0,25
58,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,355.818869,369.08,1,1536.318333,4,4,2,355.77,ACTIVE,108.105,92.14,9.69,4.585,0,0,2842.44873,0,0,0,25
59,Residential,EMIRATI,United Arab Emirates,M,1,1994,2018,196.3054317,193,1,1860.658333,5,3,2,196.5733333,ACTIVE,34.085,134.255,1.17,10.725,0,0,4883.237793,0,0,0,24
60,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,2573.048216,2339.88,2,5303.22,4,3,2,1923.006667,ACTIVE,1963.8,31.91,7.36,1.51,11.05,0,1805.776855,0,0,0,25
61,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,48.93632567,52.58333333,1,427.5016667,1,4,0,50,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
62,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1033.185997,840.38,1,4877.018333,5,8,2,977.975,ACTIVE,1265.075,514.45,42.265,76.195,7.55,5.195,6014.678223,0,0,0,25
63,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,565.8065596,625.51,1,3633.743333,4,3,1,567.82,ACTIVE,1202.99,308.68,26.85,22.74,0,0,3895.458984,0,0,0,25
64,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,1718.241302,1784.331667,2,7621.295,5,5,4,1557.563333,ACTIVE,492.45,217.275,38.365,46.015,0,0.065,0.518066406,0,0,0,25
65,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,699.8990722,698.6183333,1,1007.971667,2,3,0,703.36,ACTIVE,621.125,328.035,33.99,67.955,41.49,37.26,0,0,0,0,25
66,Prestige,EXPATS,United States of America,M,0,1994,2019,508.3519657,612.1616667,1,589.1166667,0,1,0,589.1166667,ACTIVE,261.2,76.44,2.425,17.455,188.355,2.815,493.7993164,0,0,0,25
67,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1184.236814,1278.996667,2,5614.76,0,10,9,1038.438333,ACTIVE,231.985,4.385,12.105,12.4,52.34,5.035,4889.140625,0,0,0,25
68,Residential,EXPATS,Syrian Arab Republic,M,0,1994,2019,290.2974849,0,0,315.9466667,3,1,0,305.82,ACTIVE,154.475,307.69,22.85,97.62,31.105,2.535,6634.093262,0,0,0,25
69,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,18.39065418,31,1,443.5633333,1,3,1,18.555,TOSSED,0,0,0,0,0,0,0,0,0,0,25
70,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,267.6405155,271.5183333,1,781.905,1,1,1,258.5716667,ACTIVE,395.93,34.08,8.165,46.95,0.285,3.48,7065.788086,0,0,0,25
71,Residential,EXPATS,Lebanon,M,0,1994,2019,441.7239531,475.2416667,1,2161.435,1,3,1,511.6166667,ACTIVE,698.16,332.345,0,0.1,0,0.02,6275.625,0,0,0,25
72,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,2546.445376,2213.053333,1,2664.235,2,2,1,2345.066667,ACTIVE,2385.135,35.775,52.97,59.06,119.7,16.95,42077.99512,0,0,0,25
73,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,656.8215945,641.035,2,2125.185,6,2,1,624.9766667,ACTIVE,940.975,41.33,56.95,27.16,18.36,2.675,24042.61719,0,0,0,25
74,Residential,EXPATS,Syrian Arab Republic,M,0,1994,2019,205.0291008,207.8333333,1,481.42,4,3,0,202.7033333,ACTIVE,495.94,423.26,3.955,12.03,0,0,6446.689453,0,0,0,25
75,Residential,EXPATS,India,M,0,1994,2019,618.7428798,581.0933333,1,816.3666667,6,1,1,626.8566667,ACTIVE,603.685,553.605,96.95,950.945,38.95,790.03,1408.725586,0,0,0,25
76,Prestige,EXPATS,Iran,M,0,1994,2019,1333.187736,2184.113333,2,2940.891667,1,4,1,2109.335,ACTIVE,192.74,140.31,54.06,68.09,360.145,26.98,1000.986816,0,0,0,25
77,Residential,EXPATS,Egypt,M,0,1994,2019,71.25515372,65.5,2,68.685,1,1,0,68.685,ACTIVE,17.375,179.735,2.94,91.765,0.54,15.485,98.73583984,0,0,1,25
78,Residential,EXPATS,Lebanon,M,0,1994,2019,505.5418573,592.3633333,1,688.53,0,2,0,596.3883333,ACTIVE,512.88,339.725,64.84,94.1,100.815,56.185,0.161132813,0,0,0,25
79,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,630.0734469,653.2416667,2,2395.268333,3,5,1,589.81,ACTIVE,1138.42,997.975,19.4,49.21,1.82,2.415,0,0,0.5,0,25
80,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,683.487962,598.4383333,1,2238.833333,0,5,5,485.9133333,ACTIVE,891.99,20.795,40.875,60.56,14.275,0.03,10865.11426,0,0,0,25
81,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,650.3562415,686.21,1,4785.636667,2,7,0,662.7833333,ACTIVE,84.155,73.565,5.535,10.5,0,0.79,3059.824219,0,0,0,25
82,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,83.39441095,100.1816667,1,769.025,3,2,0,105.6133333,ACTIVE,25.065,1.825,0,0.42,0,0,0.073242188,0,0,0,25
83,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,645.0963112,569.5133333,1,975.28,0,3,2,425.1683333,ACTIVE,861.11,189.605,27.115,8.95,4.16,1.085,0.001953125,0,161.5,0,25
84,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,854.7909867,932.6933333,2,3899.65,3,5,2,818.1,ACTIVE,1341.425,34.865,27.65,16.54,21.855,4.39,22337.14209,0,0,0,25
85,Residential,EMIRATI,United Arab Emirates,F,0,1994,2019,68.87009786,70.22333333,1,64.18333333,0,1,0,64.18333333,ACTIVE,4.65,0,12.015,0,0,0,0,0,0,0,25
86,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,245.1270332,259,1,4122.573333,0,3,2,245.5916667,ACTIVE,0,0,0,0,0,0,5998.535156,0,0,0,25
87,Prestige,EXPATS,Canada,M,0,1994,2019,878.2413613,1053.401667,1,1097.45,0,1,0,1097.45,ACTIVE,100.07,74.96,80.1,30.46,43.015,19.58,2281.106934,0,480,0,25
88,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1837.840143,3518.333333,1,4363.948333,5,1,2,3777.043333,ACTIVE,1026.155,101.555,115.4,85.2,163.625,13.655,57567.07324,0,0,1,25
89,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,82.88073941,88.33333333,1,4466.468333,10,7,5,78.84166667,ACTIVE,105.1,33.81,1.64,0.525,0,0,43.93066406,0,0,0,25
90,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,24.53890392,16.66666667,1,223.4383333,6,1,0,25.14833333,ACTIVE,5.24,7.615,0,2.565,0,0,0,0,0,0,25
91,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,909.3715167,686.0766667,1,3286.808333,0,5,1,778.6216667,ACTIVE,297.225,216.005,62.05,66.205,88.725,38.14,8159.375,0,0,0,25
92,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,223.848898,235.0416667,1,1171.066667,7,4,0,229.4166667,ACTIVE,0.01,0,0,0.275,0,0.06,183.3251953,0,0,0,25
93,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,403.1886036,484.2633333,1,1941.836667,4,3,0,415.0766667,ACTIVE,522.395,20.805,2.405,15.525,6.565,4.025,6616.78418,0,0,0,25
94,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,699.413884,754.495,1,4158.541667,1,6,7,723.1283333,ACTIVE,632.945,477.575,27.665,14.46,0,0,2828.15918,0,0,0,25
95,Prestige,EMIRATI,United Arab Emirates,F,0,1994,2019,527.3974261,280.2633333,1,1359.858333,1,3,1,451.02,ACTIVE,1233.03,728.64,45.075,22.26,0,0.01,6192.817383,0,0,0,25
96,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,163.2719315,176.7033333,1,761.19,0,1,1,253.19,ACTIVE,25.43,64.175,1.355,4.265,0,0,1353.869141,0,0,0,25
97,Residential,YOUTH,United Arab Emirates,F,0,1994,2019,571.8362994,587.8333333,1,553.935,0,1,0,553.935,ACTIVE,247.175,12.255,31.75,17.385,0,0,10650.60889,0,0,0,25
98,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,467.5826326,607.6016667,2,2728.948333,1,9,0,477.4983333,ACTIVE,334.65,157.965,65.245,81.06,152.65,73.025,328.753418,0,0,0,25
99,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,19.89992582,245.6216667,2,9756.971667,5,6,2,267.275,ACTIVE,0,0,0,0,0,0,0,0,0,1,25
100,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,927.7945719,855.9666667,1,3410.016667,7,4,2,763.9183333,ACTIVE,481.805,51.01,38.59,34,27.15,8.49,22719.46045,0,0,0,25
101,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,326.6890273,260,1,596.4133333,0,2,1,294.6833333,ACTIVE,0,1.78,0,1.74,0,0,0,0,0,0,25
102,Residential,EXPATS,Lebanon,M,0,1994,2019,452.0039892,448.1816667,1,1793.141667,3,3,0,492.325,ACTIVE,297.96,239.345,22.6,44.375,54.065,0,398.4111328,0,0,0,25
103,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,36.68998771,39.55,1,1634.916667,3,4,0,31.03,ACTIVE,8.92,9.945,3.08,4.425,0,0,0,0,0,0,25
104,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1758.718031,1729.818333,2,3576.756667,8,2,1,1918.455,ACTIVE,1845.035,83.925,40.51,34.84,6.925,0.035,24049.07227,0,0,0,25
105,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,193.5754146,220.545,1,1254.616667,5,3,1,209.255,ACTIVE,498.145,331.47,43.82,63.49,9.07,2.42,4598.26709,0,0,0,25
106,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,838.5102796,833.8133333,1,1473.195,1,3,0,808.1866667,ACTIVE,383.21,276.18,19.71,45.3,196.455,16.55,0,0,0,0,25
107,Residential,EXPATS,Oman,M,0,1994,2019,49.9659241,62.29166667,1,689.5716667,2,1,1,54.01333333,ACTIVE,2.22,0.135,0,1.79,0,0,0,0,0,0,25
108,Prestige,EXPATS,India,M,0,1994,2019,742.5196784,777.1666667,1,1951.888333,0,2,1,685.6,ACTIVE,14.165,21.505,13.91,24.585,194.89,7.315,0,0,0,0,25
109,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,114.3192156,122.9616667,1,4117.055,9,5,1,128.0516667,ACTIVE,0,26.95,0,13.34,0.165,2.045,0,0,0,0,25
110,Residential,EXPATS,Syrian Arab Republic,M,0,1994,2019,50.47845736,63.69666667,1,596.7966667,1,4,0,51.61333333,ACTIVE,0,21.56,0,5.095,0,0,0,0,0,0,25
111,Prestige,EXPATS,Palestinian Territory,M,0,1994,2019,437.1362676,634.6,1,1352.948333,2,2,2,608.9266667,ACTIVE,11.965,140.73,0.34,65.855,0,0.285,0,0,0,0,25
112,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,19.68106084,19.5,1,8437.768333,0,9,3,20,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
113,Residential,EXPATS,Pakistan,M,0,1994,2019,157.0888091,147.645,1,658.0183333,0,1,1,116.965,ACTIVE,59.66,111.105,0.945,18.79,1.585,12.35,0,0,0,0,25
114,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,50.57504446,52.43833333,1,812.9716667,0,3,1,50,ACTIVE,0,0,0,0,0,0,0.029296875,0,0,0,25
115,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,833.6532252,915.675,2,1664.773333,2,2,2,875.7033333,ACTIVE,441.415,745.7,16.735,84.525,14.35,8.39,13037.89795,0,0,0,25
116,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1686.264872,1744.801667,2,4219.566667,8,2,1,1598.341667,ACTIVE,801.2,590.255,48.325,59.66,79.56,9.91,17176.80811,0,0,0,25
117,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,588.5985698,600.3316667,2,1487.376667,2,4,0,577.7,ACTIVE,242.24,463.375,30.635,89.1,0.915,31.05,3907.29541,0,0,0,25
118,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1934.183386,1977.151667,2,2757.401667,0,2,8,1688.33,ACTIVE,892.25,15.18,22.225,39.57,38.67,17.31,6055.503418,0,12705,0,25
